gene_id	slope	rsq	corr	pval	median	abs_corr	testsig
ENSG00000174807_CD248	-0.0367925106779977	0.38108368963258166	-0.6173197628721939	1.0149103776985388e-37	-0.20568530034280075	0.6173197628721939	True
ENSG00000173114_LRRN3	-0.03560297892716997	0.35684053897336887	-0.5973613135894966	6.163471313501134e-35	-0.21788377404802017	0.5973613135894966	True
ENSG00000112394_SLC16A10	-0.030951813791738864	0.2696955124519349	-0.5193221663398694	6.723551394911971e-25	-0.14828925310192553	0.5193221663398694	True
ENSG00000106477_CEP41	-0.02931252213547946	0.24188441570353414	-0.4918174617716761	5.157019901536978e-22	-0.1369169027546743	0.4918174617716761	True
ENSG00000072195_SPEG	-0.028131632498442038	0.22278778866746962	-0.47200401340186676	4.1775306067236277e-20	-0.17970554114465084	0.47200401340186676	True
ENSG00000169918_OTUD7A	-0.027916609512257582	0.21939506571918566	-0.4683962699671994	7.817381413252009e-20	-0.1112307109937481	0.4683962699671994	True
ENSG00000047634_SCML1	-0.02722795536663104	0.20870438418032566	-0.456841749602995	8.38831474802312e-19	-0.14240903893145915	0.456841749602995	True
ENSG00000187862_TTC24	-0.027180177386125774	0.2079725829714002	-0.4560401111430882	8.715545310216534e-19	-0.13760279754996554	0.4560401111430882	True
ENSG00000160789_LMNA	0.02675408736431309	0.20150312882790822	0.4488909988270073	3.514830396298271e-18	-0.1043850852162701	0.4488909988270073	True
ENSG00000144290_SLC4A10	-0.02663302992100692	0.1996837234216926	-0.4468598476275224	4.82989037384766e-18	-0.3161904468116249	0.4468598476275224	True
ENSG00000166669_ATF7IP2	-0.026338466751590846	0.19529111793132647	-0.44191754653026233	1.2151892065602439e-17	-0.13848437837970515	0.44191754653026233	True
ENSG00000183691_NOG	-0.026038088586814043	0.19086210646710566	-0.4368776790671569	3.092528355201324e-17	-0.16856985477285286	0.4368776790671569	True
ENSG00000228956_SATB1-AS1	-0.0258322611272212	0.18785655615671948	-0.43342422193126157	5.539149113436463e-17	-0.0781416521190122	0.43342422193126157	True
ENSG00000184867_ARMCX2	-0.02581813026615294	0.1876510883639505	-0.4331871285760354	5.539149113436463e-17	-0.1365282121062788	0.4331871285760354	True
ENSG00000256039_LINC02446	-0.025542249375932545	0.18366220482944817	-0.4285582863852342	1.286590739254914e-16	-0.25239223393415844	0.4285582863852342	True
ENSG00000172766_NAA16	-0.025425291648326083	0.18198408057255133	-0.42659592188926443	1.7678682001216748e-16	-0.10012268010388226	0.42659592188926443	True
ENSG00000126353_CCR7	-0.02529300581955586	0.18009530872335267	-0.4243763762550323	2.5563474461816554e-16	-0.08039124640774795	0.4243763762550323	True
ENSG00000166471_TMEM41B	-0.02519921543106973	0.1787621424339333	-0.4228027228317402	3.2673256258058714e-16	-0.19208166312299846	0.4228027228317402	True
ENSG00000181847_TIGIT	0.0250370270022915	0.17646843233698573	0.42008145916832107	5.203702370734431e-16	-0.16037115055485124	0.42008145916832107	True
ENSG00000162909_CAPN2	0.024948140897354698	0.17521766496682023	0.4185900918163497	6.558585725782574e-16	-0.0233872749390651	0.4185900918163497	True
ENSG00000108370_RGS9	0.024854385257197333	0.17390319614958993	0.41701702141470176	8.403518096316171e-16	-0.20488287120661008	0.41701702141470176	True
ENSG00000134352_IL6ST	-0.02482462120435932	0.17348693442349017	-0.4165176279864879	8.810867791267939e-16	-0.0984690473651416	0.4165176279864879	True
ENSG00000135362_PRR5L	0.02477561873752303	0.17280270265710396	0.4156954445950834	9.832704667509048e-16	-0.04030003396239965	0.4156954445950834	True
ENSG00000135318_NT5E	-0.024644332336148825	0.1709761862926612	-0.4134926677616681	1.421288344456584e-15	-0.05486045034431665	0.4134926677616681	True
ENSG00000132718_SYT11	0.02462027160466396	0.1706424946465649	0.4130889669872156	1.4706973820594704e-15	-0.10921752595198965	0.4130889669872156	True
ENSG00000186462_NAP1L2	0.024607564113442015	0.17046638948984494	0.412875755512291	1.4712069930451639e-15	-0.07518730530827644	0.412875755512291	True
ENSG00000059588_TARBP1	-0.024578172079606723	0.17005941205770714	-0.4123826039707631	1.5523227881921807e-15	-0.09012913597288574	0.4123826039707631	True
ENSG00000135926_TMBIM1	0.024547720013589555	0.1696382698933201	0.41187166677658227	1.6453153106734905e-15	0.03492056787966595	0.41187166677658227	True
ENSG00000134986_NREP	-0.024501453696976195	0.16899942101984666	-0.4110953916305152	1.8334122620751427e-15	-0.1319043883060939	0.4110953916305152	True
ENSG00000154153_RETREG1	-0.02448702831341943	0.16880048067612097	-0.410853356656753	1.8531605477824286e-15	-0.1007825157989041	0.410853356656753	True
ENSG00000138795_LEF1	-0.024421783670401282	0.16790215567792577	-0.40975865540330664	2.193376793916538e-15	-0.0854967497079216	0.40975865540330664	True
ENSG00000146674_IGFBP3	0.02427248816224673	0.16585558791296495	0.40725371442500663	3.358977302541905e-15	-0.0934194296999715	0.40725371442500663	True
ENSG00000214279_SCART1	-0.024250004325943552	0.16554846301276827	-0.4068764714416015	3.488591370670557e-15	-0.28036186117527784	0.4068764714416015	True
ENSG00000091409_ITGA6	-0.024012844994155843	0.16232624672779117	-0.40289731536433854	6.94701990443395e-15	-0.14973467977881044	0.40289731536433854	True
ENSG00000167460_TPM4	0.023895824536988332	0.1607479908591083	0.4009338983661872	9.586964938601398e-15	-0.04794496744022125	0.4009338983661872	True
ENSG00000172116_CD8B	-0.02378319308531062	0.15923621121794396	-0.3990441218937374	1.3039162915857465e-14	-0.14585338310592566	0.3990441218937374	True
