ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	phase	genesym
ENSG00000135046.14_ANXA1	5374.35242810622	-1.25235327557529	0.0953007443853559	-13.1410649901254	1.91512214950041e-39	3.52905416626543e-38	Acute Phase	ENSG00000135046_ANXA1
ENSG00000154358.23_OBSCN	1070.47895202791	-1.15349999607831	0.110915734947914	-10.3997867986899	2.48488544814383e-25	2.29127820644752e-24	Acute Phase	ENSG00000154358_OBSCN
ENSG00000151136.15_ABTB3	327.182171888006	-1.09041373028118	0.073836996603797	-14.7678505415415	2.36124016126168e-49	7.223025482918289e-48	Acute Phase	ENSG00000151136_ABTB3
ENSG00000214279.13_SCART1	144.403549634509	-0.971896030476649	0.136912430618213	-7.09866902580111	1.25964065822571e-12	5.827238743612989e-12	Acute Phase	ENSG00000214279_SCART1
ENSG00000173114.13_LRRN3	250.667283428808	-0.823459104042508	0.161778256063154	-5.09004809472698	3.57972709045544e-07	1.12681421909102e-06	Acute Phase	ENSG00000173114_LRRN3
ENSG00000186462.9_NAP1L2	67.9794557554244	-0.806712370640514	0.0911468967341025	-8.85068389101484	8.69846103229269e-19	5.67518411483273e-18	Acute Phase	ENSG00000186462_NAP1L2
ENSG00000181847.12_TIGIT	671.43190710594	-0.640030217296242	0.0726918383840465	-8.80470533589789	1.3119679978671299e-18	8.490814850032479e-18	Acute Phase	ENSG00000181847_TIGIT
ENSG00000183691.6_NOG	144.668260416699	-0.618823718071328	0.138553783580315	-4.46630688878023	7.95814300159685e-06	2.22269846633337e-05	Acute Phase	ENSG00000183691_NOG
ENSG00000198682.13_PAPSS2	108.977998537684	-0.598957207001016	0.0733907967736142	-8.16120322073348	3.3170353989255004e-16	1.8812671335493803e-15	Acute Phase	ENSG00000198682_PAPSS2
ENSG00000169918.10_OTUD7A	68.3449960823555	-0.578609406543194	0.0921939169139077	-6.27600416504171	3.47384880318276e-10	1.36810604051842e-09	Acute Phase	ENSG00000169918_OTUD7A
ENSG00000178163.8_ZNF518B	423.109968666073	-0.530216965259946	0.0481743919427784	-11.0061994324648	3.56736859349063e-28	3.74330232056426e-27	Acute Phase	ENSG00000178163_ZNF518B
ENSG00000159733.14_ZFYVE28	438.320060009379	-0.482917365160813	0.0676418519131103	-7.13932796785557	9.37883157658703e-13	4.3753857811513294e-12	Acute Phase	ENSG00000159733_ZFYVE28
ENSG00000196586.17_MYO6	104.484113303937	-0.470516310505413	0.126833596819818	-3.70971353255743	0.0002074938915301	0.0005041153550182	Acute Phase	ENSG00000196586_MYO6
ENSG00000283124.3_LINC01355	60.2861619965896	-0.468167877308393	0.0707160874608956	-6.62038715825843	3.5825930876782695e-11	1.51142515827343e-10	Acute Phase	ENSG00000283124_LINC01355
ENSG00000146674.16_IGFBP3	99.6094405427267	-0.381293473190698	0.112313751237577	-3.39489571837156	0.0006865474506422	0.0015650909585877	Acute Phase	ENSG00000146674_IGFBP3
ENSG00000109943.9_CRTAM	181.696686037662	-0.366687379698703	0.0735781224468	-4.98364687090014	6.23969107466279e-07	1.92084927119549e-06	Acute Phase	ENSG00000109943_CRTAM
ENSG00000172985.11_SH3RF3	138.461405507175	-0.221819948156714	0.114261870908795	-1.94132956508102	0.0522183156452037	0.0875554328044426	Acute Phase	ENSG00000172985_SH3RF3
ENSG00000174807.4_CD248	105.156127940851	-0.210773068728392	0.165844630500803	-1.27090680049102	0.203761806819709	0.287526935864268	Acute Phase	ENSG00000174807_CD248
ENSG00000170348.9_TMED10	2711.67782004538	-0.16307081364461	0.0310474495761064	-5.25230947697897	1.50203804165539e-07	4.86936828282157e-07	Acute Phase	ENSG00000170348_TMED10
ENSG00000062524.16_LTK	241.066204634692	-0.148624006322191	0.123842379139002	-1.20010619430505	0.230098100164921	0.318550249306344	Acute Phase	ENSG00000062524_LTK
ENSG00000072310.18_SREBF1	1109.65749648986	-0.120528929621518	0.0724600748746556	-1.66338400602005	0.096235592594375	0.150759005241762	Acute Phase	ENSG00000072310_SREBF1
ENSG00000164530.15_PI16	114.263193644248	-0.0615902899425151	0.102325568146049	-0.60190518419216	0.54723725320799	0.629395815648895	Acute Phase	ENSG00000164530_PI16
ENSG00000185010.15_F8	104.770663603653	-0.0398506257477989	0.0583137402056093	-0.683383120466789	0.494364783231034	0.583428636677869	Acute Phase	ENSG00000185010_F8
ENSG00000113721.14_PDGFRB	196.6235723593	-0.0294150495679154	0.129473123822058	-0.227190390558136	0.820275699569482	0.857548833353319	Acute Phase	ENSG00000113721_PDGFRB
ENSG00000256553.1_TRAV1-2	75.7128251237379	-0.0175804930350119	0.122343165787122	-0.143698202689982	0.88573879051501	0.910535047826733	Acute Phase	ENSG00000256553_TRAV1-2
ENSG00000167460.17_TPM4	4840.95008789896	-0.0136201427829198	0.0320057869482541	-0.425552504143717	0.670433955508098	0.734172102523144	Acute Phase	ENSG00000167460_TPM4
ENSG00000169895.6_SYAP1	634.840040867024	0.0394549496535162	0.0361939495917581	1.09009793345407	0.275670006529907	0.36937754427307	Acute Phase	ENSG00000169895_SYAP1
ENSG00000158292.7_GPR153	99.8482783966113	0.0601116550597861	0.112117747208447	0.536147546275862	0.591856582048471	0.667897384937389	Acute Phase	ENSG00000158292_GPR153
ENSG00000065989.16_PDE4A	416.077676671688	0.0907426022412716	0.0616867202541413	1.47102329103288	0.141284818196384	0.210566600963481	Acute Phase	ENSG00000065989_PDE4A
